=== BECKHOFF SPS VARIABLEN ===

Name: .I_MDP_EL7342                                                | Typ: ARRAY [0..3] OF ST_MDP_INPUT_EL7342
Name: .I_MDP_SERVO                                                 | Typ: ARRAY [0..5] OF ST_MDP_INPUT
Name: .I_OUT_ERR                                                   | Typ: BOOL
Name: .I_SERVO_ACTUAL_TORQUE                                       | Typ: ARRAY [0..5] OF INT
Name: .I_SERVO_DC_VOLTAGE                                          | Typ: ARRAY [0..5] OF UINT
Name: .KAMERA                                                      | Typ: KAMERA_INPUTS
Name: .LADERELAISLOG                                               | Typ: ARRAY [0..100] OF ST_CHARGELOG
Name: .LOGFILE_DATA                                                | Typ: ARRAY [0..3] OF ST_FILE_DATA
Name: .LOGFILE_DELIMITER                                           | Typ: STRING(80)
Name: .LOGFILE_PARAM                                               | Typ: ARRAY [0..3] OF ST_LOGFILE_SETTING
Name: .LOGFILE_PARAM_GLOBAL                                        | Typ: ST_FILE_STRING_SUFFIX
Name: .LOGFILE_STATUS                                              | Typ: ARRAY [0..3] OF ST_FILE_WRITE_STATUS
Name: .LOWER_CHECKBOUNDS                                           | Typ: SYS_CHECKBOUNDS_DETAILS
Name: .MAX_AVERAGE_MEASURES                                        | Typ: INT16
Name: .MAX_DBGOUTPUT_HEXLEN                                        | Typ: UDINT
Name: .NOVRAM                                                      | Typ: ST_NOVRAM
Name: .O_MDP_EL7342                                                | Typ: ARRAY [0..3] OF ST_MDP_OUTPUT_EL7342
Name: .O_MDP_SERVO                                                 | Typ: ARRAY [0..5] OF ST_MDP_OUTPUT
Name: .O_NOTAUS_BETAETIGEN                                         | Typ: BOOL
Name: .O_QUITTIERUNG_NOTAUS                                        | Typ: BOOL
Name: .O_QUITTIERUNG_POWERON                                       | Typ: BOOL
Name: .PARKMODUS                                                   | Typ: BOOL
Name: .RS232_CONFIG                                                | Typ: ARRAY [0..3] OF ST_RS232_CONFIG
Name: .RTGRAPHIC_INIT_VAR                                          | Typ: BOOL
Name: .RXBUFFER_COM1                                               | Typ: COMBUFFER
Name: .RXBUFFER_COM2                                               | Typ: COMBUFFER
Name: .SA_EDM_SIGNAL                                               | Typ: BOOL
Name: .SA_RESERVER_8_3                                             | Typ: BOOL
Name: .SA_SCHUTZFELDUMSCHALTUNG_A1                                 | Typ: BOOL
Name: .SA_SCHUTZFELDUMSCHALTUNG_A2                                 | Typ: BOOL
Name: .SA_SCHUTZFELDUMSCHALTUNG_B1                                 | Typ: BOOL
Name: .SA_SCHUTZFELDUMSCHALTUNG_B2                                 | Typ: BOOL
Name: .SA_SERVO_BREMSEN_LOESEN                                     | Typ: BOOL
Name: .SA_SERVO_VERSORGUNG_AN                                      | Typ: BOOL
Name: .SBCS_TABLES                                                 | Typ: ARRAY [1..2] OF ST_SBCSTABLE
Name: .SERVONULLPUNKTOFFSET                                        | Typ: ARRAY [0..5] OF LREAL
Name: .SE_NOT_HALT_KANAL_1                                         | Typ: BOOL
Name: .SE_NOT_HALT_KANAL_2                                         | Typ: BOOL
Name: .SE_OSSD_KANAL_1                                             | Typ: BOOL
Name: .SE_OSSD_KANAL_2                                             | Typ: BOOL
Name: .SYSTEMINFO                                                  | Typ: FW_SYSTEMINFOTYPE
Name: .SYSTEMTASKINFOARR                                           | Typ: ARRAY [1..4] OF FW_SYSTEMTASKINFOTYPE
Name: .SYSTEMTIME_DATE_AND_TIME_MAX                                | Typ: T_ULARGE_INTEGER
Name: .SYSTEMTIME_DATE_AND_TIME_MIN                                | Typ: T_ULARGE_INTEGER
Name: .SYSTEMTIME_MAX_MONTHDAYS                                    | Typ: ARRAY [0..1, 1..12] OF WORD
Name: .SYSTEMTIME_MAX_YEARSDAY                                     | Typ: ARRAY [0..1, 0..13] OF WORD
Name: .SYSTEMTIME_TICKSPERDAY                                      | Typ: T_ULARGE_INTEGER
Name: .SYSTEMTIME_TICKSPERMSEC                                     | Typ: T_ULARGE_INTEGER
Name: .SYSTEMTIME_TICKSPERSEC                                      | Typ: T_ULARGE_INTEGER
Name: .TCMCGLOBAL                                                  | Typ: _TCMCGLOBAL
Name: .TEST_CORE_HEARTBEAT                                         | Typ: BOOL
Name: .TEST_NO_BMS                                                 | Typ: BOOL
Name: .TEST_OHNE_HUB                                               | Typ: BOOL
Name: .TEST_OPP_CHARGE                                             | Typ: BOOL
Name: .TEST_SICK_FAHRFREIGABE                                      | Typ: BOOL
Name: .TEST_SYSTEM_AUS                                             | Typ: BOOL
Name: .TXBUFFER_COM1                                               | Typ: COMBUFFER
Name: .TXBUFFER_COM2                                               | Typ: COMBUFFER
Name: .UPPER_CHECKBOUNDS                                           | Typ: SYS_CHECKBOUNDS_DETAILS
Name: .VERSION_COMLIB                                              | Typ: STRING(20)
Name: .VISUDOEXECUTEUSERLEVELINIT                                  | Typ: BOOL
Name: .WEST_EUROPE_TZI                                             | Typ: ST_TIMEZONEINFORMATION
Name: ABLAUF_LOAD_UNLOAD.A_BUSY                                    | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.A_FEHLER                                  | Typ: EL_CONVEYOR_FEHLER
Name: ABLAUF_LOAD_UNLOAD.A_FREIGABE_HUB_IN_FAHRPOSITION            | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.A_KOLLISION                               | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.A_LAM_CONTROL_SPEED                       | Typ: REAL
Name: ABLAUF_LOAD_UNLOAD.A_LAM_CONTROL_START                       | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.A_LAM_STATUS_BEREIT                       | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.DISTANCE_MOVE                             | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.DISTANCE_MOVE_RETURN                      | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.EA_COMMAND                                | Typ: CONVEYOR_COMMAND (VAR_IN_OUT)
Name: ABLAUF_LOAD_UNLOAD.EA_STATE                                  | Typ: CONVEYOR_STATE (VAR_IN_OUT)
Name: ABLAUF_LOAD_UNLOAD.E_DELAY_START_RAMPE                       | Typ: TIME
Name: ABLAUF_LOAD_UNLOAD.E_ENABLE                                  | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_ERROR_ACK                               | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_FREIGABE_ABDOCKEN                       | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_FREIGABE_CONVEYOR                       | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_HAND_BAND_LINKS                         | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_HAND_BAND_RECHTS                        | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_HAND_RUECKLAUF                          | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_HAND_VORLAUF                            | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_HUBSPEED_HEBEN                          | Typ: LREAL
