Name: .TEST_CORE_HEARTBEAT | Group: 16448 | Offset: 122346
Name: .TEST_NO_BMS | Group: 16448 | Offset: 122343
Name: .TEST_OHNE_HUB | Group: 16448 | Offset: 122347
Name: .TEST_OPP_CHARGE | Group: 16448 | Offset: 122348
Name: .TEST_SICK_FAHRFREIGABE | Group: 16448 | Offset: 122344
Name: .TEST_SYSTEM_AUS | Group: 16448 | Offset: 122345
Name: .TXBUFFER_COM1 | Group: 16448 | Offset: 210306
Name: .TXBUFFER_COM2 | Group: 16448 | Offset: 210934
Name: .UPPER_CHECKBOUNDS | Group: 16448 | Offset: 121984
Name: .VERSION_COMLIB | Group: 16448 | Offset: 182
Name: .VISUDOEXECUTEUSERLEVELINIT | Group: 16448 | Offset: 121295
Name: .WEST_EUROPE_TZI | Group: 16448 | Offset: 231048
Name: ABLAUF_LOAD_UNLOAD.A_BUSY | Group: 16448 | Offset: 841
Name: ABLAUF_LOAD_UNLOAD.A_FEHLER | Group: 16448 | Offset: 842
Name: ABLAUF_LOAD_UNLOAD.A_FREIGABE_HUB_IN_FAHRPOSITION | Group: 16448 | Offset: 846
Name: ABLAUF_LOAD_UNLOAD.A_KOLLISION | Group: 16448 | Offset: 847
Name: ABLAUF_LOAD_UNLOAD.A_LAM_CONTROL_SPEED | Group: 16448 | Offset: 848
Name: ABLAUF_LOAD_UNLOAD.A_LAM_CONTROL_START | Group: 16448 | Offset: 844
Name: ABLAUF_LOAD_UNLOAD.A_LAM_STATUS_BEREIT | Group: 16448 | Offset: 845
Name: ABLAUF_LOAD_UNLOAD.DISTANCE_MOVE | Group: 16448 | Offset: 504
Name: ABLAUF_LOAD_UNLOAD.DISTANCE_MOVE_RETURN | Group: 16448 | Offset: 512
Name: ABLAUF_LOAD_UNLOAD.EA_COMMAND | Group: 16448 | Offset: 852
Name: ABLAUF_LOAD_UNLOAD.EA_STATE | Group: 16448 | Offset: 856
Name: ABLAUF_LOAD_UNLOAD.E_DELAY_START_RAMPE | Group: 16448 | Offset: 780
Name: ABLAUF_LOAD_UNLOAD.E_ENABLE | Group: 16448 | Offset: 766
Name: ABLAUF_LOAD_UNLOAD.E_ERROR_ACK | Group: 16448 | Offset: 767
Name: ABLAUF_LOAD_UNLOAD.E_FREIGABE_ABDOCKEN | Group: 16448 | Offset: 765
